date,festival,sport_event,overall
2022/4/28,392,85,477
2022/4/29,248,56,304
2022/4/30,646,51,697
2022/5/1,139,19,158
2022/5/2,1120,131,1251
2022/5/4,882,409,1291
2022/5/5,16,0,16
2022/5/6,1261,796,2057
2022/5/7,167,217,384
2022/5/8,237,87,324
2022/5/9,391,50,441
2022/5/10,283,99,382
2022/5/11,654,169,823
2022/5/12,238,130,368
2022/5/15,24,2,26
2022/5/16,791,345,1136
2022/5/17,1862,1603,3465
2022/5/18,331,67,398
2022/5/19,489,122,611
2022/5/20,303,79,382
2022/5/21,434,180,614
2022/5/22,443,170,613
2022/5/23,263,367,630
2022/5/24,99,84,183
2022/5/25,122,29,151
2022/5/26,99,18,117
2022/5/27,44,8,52
2022/5/28,21,5,26
2022/5/29,42,9,51
2022/5/30,695,275,970
2022/5/31,46,14,60
2022/6/1,1760,1331,3091
2022/6/2,1001,925,1926
2022/6/3,368,253,621
2022/6/4,520,425,945
2022/6/5,239,167,406
2022/6/6,53,157,210
2022/6/7,49,70,119
2022/6/8,90,151,241
2022/6/9,98,183,281
2022/6/10,0,3,3
2022/6/12,2,28,30
2022/6/13,246,222,468
2022/6/14,826,1053,1879
2022/6/15,9,39,48
2022/6/16,371,429,800
2022/6/17,10,53,63
2022/6/18,18,13,31
2022/6/19,155,177,332
2022/6/20,16,70,86
2022/6/21,0,4,4
2022/6/23,13,22,35
2022/6/24,270,290,560
2022/6/25,27,23,50
2022/6/26,8,19,27
2022/6/27,209,394,603
2022/6/28,89,177,266
2022/6/29,224,170,394
2022/6/30,326,399,725
2022/7/1,793,1005,1798
2022/7/2,280,560,840
2022/7/3,363,700,1063
2022/7/4,916,1324,2240
2022/7/5,420,639,1059
2022/7/6,260,354,614
2022/7/7,35,80,115
2022/7/8,1359,1374,2733
2022/7/9,2,16,18
2022/7/11,36,33,69
2022/7/12,119,279,398
2022/7/13,129,199,328
2022/7/14,2835,2744,5579
2022/7/15,90,102,192
2022/7/16,1055,1046,2101
2022/7/17,204,229,433
2022/7/18,2,36,38
2022/7/19,201,375,576
2022/7/20,636,702,1338
2022/7/21,0,58,58
2022/7/22,474,454,928
2022/7/23,91,345,436
2022/7/24,287,374,661
2022/7/25,138,321,459
2022/7/26,177,237,414
2022/7/27,49,165,214
2022/7/28,247,460,707
2022/7/29,49,256,305
2022/7/30,42,72,114
2022/7/31,157,353,510
2022/8/1,154,307,461
2022/8/2,0,154,154
2022/8/3,109,416,525
2022/8/4,0,2,2
2022/8/5,0,8,8
2022/8/6,423,405,828
2022/8/7,454,761,1215
2022/8/8,656,679,1335
2022/8/9,347,222,569
2022/8/10,325,330,655
2022/8/11,274,268,542
2022/8/12,475,343,818
2022/8/13,2031,2406,4437
2022/8/14,2633,1203,3836
2022/8/15,6269,1451,7720
2022/8/16,790,324,1114
2022/8/17,5870,1913,7783
2022/8/18,4407,1012,5419
2022/8/19,3014,1712,4726
2022/8/20,677,801,1478
2022/8/21,4729,1956,6685
2022/8/22,2224,1325,3549
2022/8/23,270,662,932
2022/8/24,186,335,521
2022/8/25,1537,1950,3487
2022/8/26,1313,1827,3140
2022/8/27,787,1537,2324
2022/8/28,405,940,1345
2022/8/29,564,847,1411
2022/8/30,797,712,1509
2022/8/31,412,468,880
2022/9/1,1153,1251,2404
2022/9/2,266,364,630
2022/9/3,1823,2383,4206
2022/9/4,1698,1595,3293
2022/9/5,1590,1942,3532
2022/9/6,700,756,1456
2022/9/7,595,617,1212
2022/9/8,1023,1175,2198
2022/9/9,285,287,572
2022/9/10,316,651,967
2022/9/11,260,547,807
2022/9/12,18,520,538
2022/9/13,138,159,297
2022/9/14,9,433,442
2022/9/15,33,105,138
2022/9/16,48,28,76
2022/9/17,71,76,147
2022/9/18,542,499,1041
2022/9/19,911,648,1559
2022/9/20,822,408,1230
2022/9/21,159,97,256
2022/9/22,152,144,296
2022/9/24,1199,830,2029
2022/9/25,847,576,1423
2022/9/26,593,404,997
2022/9/27,107,92,199
2022/9/28,103,156,259
2022/9/29,37,35,72
2022/9/30,22,23,45
2022/10/1,93,82,175
2022/10/3,111,115,226
2022/10/4,90,88,178
2022/10/5,266,216,482
2022/10/6,369,457,826
2022/10/7,139,282,421
2022/10/8,636,993,1629
2022/10/9,321,488,809
2022/10/10,23,46,69
2022/10/11,23,95,118
2022/10/12,12,72,84
2022/10/13,20,81,101
2022/10/14,19,73,92
2022/10/15,19,54,73
2022/10/16,16,70,86
2022/10/17,10,39,49
2022/10/18,11,33,44
2022/11/7,20,28,48
2022/11/8,214,332,546
2022/12/1,175,271,446
2022/12/5,1,3,4
2022/12/7,57,78,135
2022/12/8,1148,1794,2942
